Year,QID,UID,Question,Age range,Categories,Unit,Answer Type,Asked of
1790,1,1790_1,Name of head of household,,Identity,Individual,FT,All respondents
1790,2,1790_2,Professions and Occupations,,Occupation - Job,Individual,FT,All respondents
1790,3-4,1790_3-4,Free white males,2,"Age, Race, Sex",Household,FN,All respondents
1790,5,1790_5,Free white females,,"Age, Race, Sex",Household,FN,All respondents
1790,7,1790_7,Slaves,,"Age, Race, Enslavement",Household,FN,All respondents
1790,6,1790_6,Other free persons,,"Age, Race, Enslavement",Household,FN,All respondents
1800,1,1800_1,Name of head of household,,Identity,Individual,FT,All respondents
1800,2-6,1800_2-6,Free white males,5,"Age, Race, Sex",Household,FN,All respondents
1800,7-11,1800_7-11,Free white females,5,"Age, Race, Sex",Household,FN,All respondents
1800,13,1800_13,Slaves,,"Age, Race, Enslavement",Household,FN,All respondents
1800,12,1800_12,Other free persons,,"Age, Race, Enslavement",Household,FN,All respondents
1810,1,1810_1,Name of head of household,,Identity,Individual,FT,All respondents
1810,2-6,1810_2-6,Free white males,5,"Age, Race, Sex",Household,FN,All respondents
1810,7-11,1810_7-11,Free white females,5,"Age, Race, Sex",Household,FN,All respondents
1810,13,1810_13,Slaves,,"Age, Race, Enslavement",Household,FN,All respondents
1810,12,1810_12,Other free persons,,"Age, Race, Enslavement",Household,FN,All respondents
1820,1,1820_1,Name of head of household,,Identity,Individual,FT,All respondents
1820,2-6,1820_2-6,Free white males,5,"Age, Race, Sex",Household,FN,All respondents
1820,7-11,1820_7-11,Free white females,5,"Age, Race, Sex",Household,FN,All respondents
1820,12-15,1820_12-15,Male slaves,4,"Age, Race, Sex, Enslavement",Household,FN,All respondents
1820,16-19,1820_16-19,Female slaves,4,"Age, Race, Sex, Enslavement",Household,FN,All respondents
1820,20-23,1820_20-23,Free colored males,4,"Age, Race, Sex, Enslavement",Household,FN,All respondents
1820,24-27,1820_24-27,Free colored females,4,"Age, Race, Sex, Enslavement",Household,FN,All respondents
1820,28,1820_28,People not naturalized,,Immigration,Household,FN,All respondents
1820,29,1820_29,People engaged in Agriculture,,Occupation - Job,Household,FN,All respondents
1820,30,1820_30,People engaged in Commerce,,Occupation - Job,Household,FN,All respondents
1820,31,1820_31,People engaged in Manufactures,,Occupation - Job,Household,FN,All respondents
1830,1,1830_1,Name of head of household,,Identity,Individual,FT,All respondents
1830,2-14,1830_2-14,Free white males,13,"Age, Race, Sex",Household,FN,All respondents
1830,15-27,1830_15-27,Free white females,13,"Age, Race, Sex",Household,FN,All respondents
1830,28-33,1830_28-33,Male slaves,6,"Age, Race, Sex, Enslavement",Household,FN,All respondents
1830,34-39,1830_34-39,Female slaves,6,"Age, Race, Sex, Enslavement",Household,FN,All respondents
1830,40-45,1830_40-45,Free colored males,6,"Age, Race, Sex, Enslavement",Household,FN,All respondents
1830,46-51,1830_46-51,Free colored females,6,"Age, Race, Sex, Enslavement",Household,FN,All respondents
1830,52-54,1830_52-54,White people who are deaf/dumb,3,"Age, Race, Disability",Household,FN,All respondents
1830,55,1830_55,White people who are blind,,"Race, Disability",Household,FN,All respondents
1830,56,1830_56,White foreigners not naturalized,,"Citizenship, Race",Household,FN,All respondents
1830,57-59,1830_57-59,Deaf/dumb slaves and colored people,3,"Age, Race, Disability",Household,FN,All respondents
1830,60,1830_60,Blind slaves and colored people,,"Age, Race, Disability",Household,FN,All respondents
1840,1,1840_1,Name of head of household,,Identity,Individual,FT,All respondents
1840,2-14,1840_2-14,Free white males,13,"Age, Race, Sex",Household,FN,All respondents
1840,15-27,1840_15-27,Free white females,13,"Age, Race, Sex",Household,FN,All respondents
1840,40-45,1840_40-45,Male slaves,6,"Age, Race, Sex, Enslavement",Household,FN,All respondents
1840,46-51,1840_46-51,Female slaves,6,"Age, Race, Sex, Enslavement",Household,FN,All respondents
1840,28-33,1840_28-33,Free colored males,6,"Age, Race, Sex, Enslavement",Household,FN,All respondents
1840,34-39,1840_34-39,Free colored females,6,"Age, Race, Sex, Enslavement",Household,FN,All respondents
1840,52,1840_52,People engaged in Mining,,Occupation - Job,Household,FN,All respondents
1840,53,1840_53,People engaged in Agriculture,,Occupation - Job,Household,FN,All respondents
1840,54,1840_54,People engaged in Commerce,,Occupation - Job,Household,FN,All respondents
1840,55,1840_55,People engaged in Manufacture and Trade,,Occupation - Job,Household,FN,All respondents
1840,56,1840_56,People engaged in Navigation of the Ocean,,Occupation - Job,Household,FN,All respondents
1840,57,1840_57,"People engaged in Navigation of Canals, Lakes, and Rivers",,Occupation - Job,Household,FN,All respondents
1840,58,1840_58,People engaged in Learned Professions and Engineers,,Occupation - Job,Household,FN,All respondents
1840,59-60,1840_59-60,Pensioners for Revolutionary service,,Veteran status,Household,FT,All respondents
1840,61-63,1840_61-63,White people who are deaf/dumb,3,"Age, Race, Disability",Household,FN,All respondents
1840,64,1840_64,White people who are blind,,"Race, Disability",Household,FN,All respondents
1840,65,1840_65,White people with intellectual disability at private charge,,"Race, Disability",Household,FN,All respondents
1840,66,1840_66,White people with intellectual disability at public charge,,"Race, Disability",Household,FN,All respondents
1840,67,1840_67,Colored people who are deaf/dumb,,"Race, Disability",Household,FN,All respondents
1840,68,1840_68,Colored people who are blind,,"Race, Disability",Household,FN,All respondents
1840,69,1840_69,Colored people with intellectual disability at private charge,,"Race, Disability",Household,FN,All respondents
1840,70,1840_70,Colored people with intellectual disability at public charge,,"Race, Disability",Household,FN,All respondents
1840,71,1840_71,Students at colleges or universities,,Education,Household,FN,All respondents
1840,72,1840_72,Students associated with grammar schools,,Education,Household,FN,All respondents
1840,73,1840_73,Students associated with primary schools,,Education,Household,FN,All respondents
1840,74,1840_74,Students at primary schools at public charge,,Education,Household,FN,All respondents
1840,75,1840_75,White adults who cannot read and write,,"Age, Race, Education",Household,FN,All respondents
1850,3,1850_3,Name,,Identity,Individual,FT,All respondents
1850,5,1850_5,Sex,,Identity,Individual,FT,All respondents
1850,4,1850_4,Age,,Identity,Individual,FN,All respondents
1850,6,1850_6,Color,,Race,Individual,CC,All respondents
1850,7,1850_7,"Profession, occupation, or trade",,Occupation - Job,Individual,FT,"16 or over, male"
1850,8,1850_8,Value of real estate,,Housing,Individual,FN,All respondents
1850,9,1850_9,Place of Birth (state or country),,National origin,Individual,FT,All respondents
1850,10,1850_10,Married in the last year,,Family,Individual,BN,All respondents
1850,11,1850_11,At school in the last year,,Education,Individual,BN,All respondents
1850,12,1850_12,"Over 20, unable to read and write",,Education,Individual,BN,All respondents
1850,13,1850_13,People with disabilities and dependencies,,Disability,Individual,FT,All respondents
1860,3,1860_3,Name,,Identity,Individual,FT,All respondents
1860,5,1860_5,Sex,,Identity,Individual,FT,All respondents
1860,4,1860_4,Age,,Identity,Individual,FN,All respondents
1860,6,1860_6,Color,,Race,Individual,CC,All respondents
1860,7,1860_7,"Profession, occupation, or trade of each person",,Occupation - Job,Individual,FT,16 or over
1860,8,1860_8,Value of real estate,,Housing,Individual,FN,All respondents
1860,9,1860_9,Value of personal estate,,Housing,Individual,FN,All respondents
1860,10,1860_10,Place of Birth (state or country),,National origin,Individual,FT,All respondents
1860,11,1860_11,Married in the last year,,Family,Individual,BN,All respondents
1860,12,1860_12,At school in the last year,,Education,Individual,BN,All respondents
1860,13,1860_13,"Over 20, unable to read and write",,Education,Individual,BN,All respondents
1860,14,1860_14,People with disabilities and dependencies,,Disability,Individual,FT,All respondents
1870,3,1870_3,Name,,Identity,Individual,FT,All respondents
1870,5,1870_5,Sex,,Identity,Individual,CC,All respondents
1870,4,1870_4,Age,,Identity,Individual,FN,All respondents
1870,6,1870_6,Color,,Race,Individual,CC,All respondents
1870,7,1870_7,"Profession, occupation, or trade of each person",,Occupation - Job,Individual,FT,No infants
1870,8,1870_8,Value of real estate,,Housing,Individual,FN,All respondents
1870,9,1870_9,Value of personal estate,,Housing,Individual,FN,All respondents
1870,10,1870_10,Place of Birth (state or country),,National origin,Individual,FT,All respondents
1870,11,1870_11,Father of foreign birth,,National origin,Individual,BN,All respondents
1870,12,1870_12,Mother of foreign birth,,National origin,Individual,BN,All respondents
1870,13,1870_13,"If born in last year, what month?",,Identity,Individual,FD,All respondents
1870,14,1870_14,"If married in last year, what month?",,Family,Individual,FD,All respondents
1870,15,1870_15,At school in the last year,,Education,Individual,BN,All respondents
1870,16,1870_16,Unable to read,,Education,Individual,BN,No infants
1870,17,1870_17,Unable to write,,Education,Individual,BN,No infants
1870,18,1870_18,"""Deaf/dumb, blind, insane, or idiotic""",,Disability,Individual,FT,All respondents
1870,19,1870_19,Male citizen 21 years or older,,Immigration,Individual,BN,"21 or over, male"
1870,20,1870_20,Male adult denied right to vote,,Immigration,Individual,BN,"21 or over, male"
1880,3,1880_3,Name,,Identity,Individual,FT,All respondents
1880,4,1880_4,Color,,Race,Individual,CC,All respondents
1880,5,1880_5,Sex,,Identity,Individual,CC,All respondents
1880,6,1880_6,Age,,Identity,Individual,FN,All respondents
1880,7,1880_7,"If born in last year, what month?",,Identity,Individual,FD,All respondents
1880,8,1880_8,Relationship to head of family,,Family,Individual,CC,All respondents
1880,9,1880_9,Single,,Family,Individual,BN,All respondents
1880,10,1880_10,Married,,Family,Individual,BN,All respondents
1880,11,1880_11,Widowed / Divorced,,Family,Individual,BN,All respondents
1880,12,1880_12,Married in the last year,,Family,Individual,BN,All respondents
1880,13,1880_13,"Profession, occupation, or trade of each person",,Occupation - Job,Individual,FT,10 or over
1880,14,1880_14,Months unemployed in Census year,,Occupation - Unemployment,Individual,FN,10 or over
1880,15,1880_15,Sick or temporarily disabled,,Disability,Individual,FT,All respondents
1880,16,1880_16,Blind,,Disability,Individual,BN,All respondents
1880,17,1880_17,Deaf/dumb,,Disability,Individual,BN,All respondents
1880,18,1880_18,Idiotic,,Disability,Individual,BN,All respondents
1880,19,1880_19,Insane,,Disability,Individual,BN,All respondents
1880,20,1880_20,Physical disability,,Disability,Individual,BN,All respondents
1880,21,1880_21,At school in the last year,,Education,Individual,BN,All respondents
1880,22,1880_22,Unable to read,,Education,Individual,BN,10 or over
1880,23,1880_23,Unable to write,,Education,Individual,BN,10 or over
1880,24,1880_24,Place of Birth (state or country),,National origin,Individual,FT,All respondents
1880,25,1880_25,Father place of birth,,National origin,Individual,FT,All respondents
1880,26,1880_26,Mother place of birth,,National origin,Individual,FT,All respondents
1890,1,1890_1,Name,,Identity,Individual,FT,All respondents
1890,2,1890_2,Soldier in Civil War or widow of one,,Veteran status,Individual,FT,All respondents
1890,3,1890_3,Relationship to head of family,,Family,Individual,FT,All respondents
1890,4,1890_4,Race,,Race,Individual,CC,All respondents
1890,5,1890_5,Sex,,Identity,Individual,FT,All respondents
1890,6,1890_6,Age,,Identity,Individual,FN,All respondents
1890,7,1890_7,"Single, married, widowed, or divorced",,Family,Individual,CC,All respondents
1890,8,1890_8,Married in the last year,,Family,Individual,BN,All respondents
1890,9,1890_9,Mother of how many children and number living,,Family,Individual,FN,All respondents
1890,10,1890_10,Place of Birth (state or country),,National origin,Individual,FT,All respondents
1890,11,1890_11,Father place of birth,,National origin,Individual,FT,All respondents
1890,12,1890_12,Mother place of birth,,National origin,Individual,FT,All respondents
1890,13,1890_13,Years in US,,Immigration,Individual,FN,All respondents
1890,14,1890_14,Naturalized,,Immigration,Individual,BN,All respondents
1890,15,1890_15,Naturalization papers taken out,,Immigration,Individual,BN,All respondents
1890,16,1890_16,"Profession, occupation, or trade",,Occupation - Job,Individual,FT,All respondents
1890,17,1890_17,Months unemployed in Census year,,Occupation - Unemployment,Individual,FN,All respondents
1890,18,1890_18,Months in school in the last year,,Education,Individual,FN,All respondents
1890,19,1890_19,Able to read,,Education,Individual,BN,All respondents
1890,20,1890_20,Able to write,,Education,Individual,BN,All respondents
1890,21,1890_21,"Able to speak English, if not language spoken",,National origin,Individual,FT,All respondents
1890,22,1890_22,Acute or chronic disease,,Disability,Individual,FT,All respondents
1890,23,1890_23,Physical and intellectual disability,,Disability,Individual,FT,All respondents
1890,24,1890_24,"""Prisoner, convict, homeless child, pauper""",,Disability,Individual,FT,All respondents
1890,26,1890_26,Rent or own,,Housing,Household,FT,All respondents
1890,27,1890_27,"If owned, mortgaged",,Housing,Household,FT,All respondents
1890,28,1890_28,"If farmer, rent or own",,Housing,Household,FT,All respondents
1890,29,1890_29,"If farm owned, mortgaged",,Housing,Household,BN,All respondents
1890,30,1890_30,Address of owner,,Housing,Household,FT,All respondents
1900,3,1900_3,Name,,Identity,Individual,FT,All respondents
1900,4,1900_4,Relationship to head of family,,Family,Individual,FT,All respondents
1900,5,1900_5,Color or race,,Race,Individual,FT,All respondents
1900,6,1900_6,Sex,,Identity,Individual,FT,All respondents
1900,7,1900_7,Birth date,,Identity,Individual,FD,All respondents
1900,8,1900_8,Age,,Identity,Individual,FN,All respondents
1900,9,1900_9,"Single, married, widowed, or divorced",,Family,Individual,CC,All respondents
1900,10,1900_10,Years married,,Family,Individual,FN,All respondents
1900,11,1900_11,Mother of how many children,,Family,Individual,FN,All respondents
1900,12,1900_12,Mother of how many children living,,Family,Individual,FN,All respondents
1900,13,1900_13,Place of Birth (state or country),,National origin,Individual,FT,All respondents
1900,14,1900_14,Father place of birth,,National origin,Individual,FT,All respondents
1900,15,1900_15,Mother place of birth,,National origin,Individual,FT,All respondents
1900,16,1900_16,Year of immigration to US,,Immigration,Individual,FD,All respondents
1900,17,1900_17,Years in US,,Immigration,Individual,FN,All respondents
1900,18,1900_18,Naturalized,,Immigration,Individual,BN,All respondents
1900,19,1900_19,"Profession, occupation, or trade",,Occupation - Job,Individual,FT,10 or over
1900,20,1900_20,Months not employed,,Occupation - Unemployment,Individual,FN,10 or over
1900,21,1900_21,Months in school in the last year,,Education,Individual,FN,All respondents
1900,22,1900_22,Able to read,,Education,Individual,BN,All respondents
1900,23,1900_23,Able to write,,Education,Individual,BN,All respondents
1900,24,1900_24,Able to speak English,,National origin,Individual,BN,All respondents
1900,25,1900_25,Rent or own,,Housing,Individual,CC,All respondents
1900,26,1900_26,"If owned, mortgaged",,Housing,Individual,BN,All respondents
1900,27,1900_27,Farm or house,,Housing,Individual,CC,All respondents
1910,3,1910_3,Name,,Identity,Individual,FT,All respondents
1910,4,1910_4,Relationship to head of family,,Family,Individual,FT,All respondents
1910,5,1910_5,Sex,,Identity,Individual,FT,All respondents
1910,6,1910_6,Color or race,,Race,Individual,FT,All respondents
1910,7,1910_7,Age,,Identity,Individual,FN,All respondents
1910,8,1910_8,"Single, married, widowed, or divorced",,Family,Individual,CC,All respondents
1910,9,1910_9,Years married,,Family,Individual,FN,All respondents
1910,10,1910_10,Mother of how many children,,Family,Individual,FN,All respondents
1910,11,1910_11,Mother of how many children living,,Family,Individual,FN,All respondents
1910,12,1910_12,Place of Birth (state or country),,National origin,Individual,FT,All respondents
1910,13,1910_13,Father place of birth,,National origin,Individual,FT,All respondents
1910,14,1910_14,Mother place of birth,,National origin,Individual,FT,All respondents
1910,15,1910_15,Year of immigration to US,,Immigration,Individual,FD,All respondents
1910,16,1910_16,Naturalized,,Immigration,Individual,CC,All respondents
1910,17,1910_17,"Able to speak English, if not language spoken",,National origin,Individual,FT,All respondents
1910,18,1910_18,"Profession, occupation, or trade",,Occupation - Job,Individual,FT,All respondents
1910,19,1910_19,Industry,,Occupation - Job,Individual,FT,All respondents
1910,20,1910_20,"Employer, employee, or self-employed",,Occupation - Job,Individual,CC,All respondents
1910,21,1910_21,"If employee, unemployed on April 15",,Occupation - Unemployment,Individual,BN,All respondents
1910,22,1910_22,Weeks unemployed previous year,,Occupation - Unemployment,Individual,FN,All respondents
1910,25,1910_25,At school in the last year,,Education,Individual,BN,All respondents
1910,23,1910_23,Able to read,,Education,Individual,BN,All respondents
1910,24,1910_24,Able to write,,Education,Individual,BN,All respondents
1910,26,1910_26,Rent or own,,Housing,Individual,CC,All respondents
1910,27,1910_27,"If owned, mortgaged",,Housing,Individual,BN,All respondents
1910,28,1910_28,Farm or house,,Housing,Individual,CC,All respondents
1910,30,1910_30,Soldier in Civil War,,Veteran status,Individual,BN,All respondents
1910,31,1910_31,Blind,,Disability,Individual,BN,All respondents
1910,32,1910_32,Deaf/dumb,,Disability,Individual,BN,All respondents
1920,5,1920_5,Name,,Identity,Individual,FT,All respondents
1920,6,1920_6,Relationship to head of family,,Family,Individual,FT,All respondents
1920,7,1920_7,Rent or own,,Housing,Individual,CC,All respondents
1920,8,1920_8,"If owned, mortgaged",,Housing,Individual,BN,All respondents
1920,9,1920_9,Sex,,Identity,Individual,FT,All respondents
1920,10,1920_10,Color or race,,Race,Individual,FT,All respondents
1920,11,1920_11,Age,,Identity,Individual,FN,All respondents
1920,12,1920_12,"Single, married, widowed, or divorced",,Family,Individual,CC,All respondents
1920,13,1920_13,Year of immigration to US,,Immigration,Individual,FD,All respondents
1920,14,1920_14,Naturalized,,Immigration,Individual,CC,All respondents
1920,15,1920_15,"If naturalized, year of naturalization",,Immigration,Individual,FD,All respondents
1920,16,1920_16,At school in the last year,,Education,Individual,BN,All respondents
1920,17,1920_17,Able to read,,Education,Individual,BN,All respondents
1920,18,1920_18,Able to write,,Education,Individual,BN,All respondents
1920,19,1920_19,Place of Birth (state or country),,National origin,Individual,FT,All respondents
1920,24,1920_24,Mother mother tongue,,National origin,Individual,FT,All respondents
1920,21,1920_21,Father place of birth,,National origin,Individual,FT,All respondents
1920,22,1920_22,Father mother tongue,,National origin,Individual,FT,All respondents
1920,23,1920_23,Mother place of birth,,National origin,Individual,FT,All respondents
