Year,QID,UID,Question,Age range,Categories,Unit,Answer Type,Asked of
1970,H,1970_H,Housing questionnaire,,Housing,Sampled Household,CC,All respondents
1980,1,1980_1,Name,,Identity,Individual,FT,All respondents
1980,2,1980_2,Relationship to head of family,,Family,Individual,CC,All respondents
1980,6,1980_6,Marital status,,Family,Individual,CC,All respondents
1980,21a,1980_21a,Married more than once,,Family,Indiv. in sampled household,CC,Ever married
1980,21b,1980_21b,Date of first marriage,,Family,Indiv. in sampled household,FD,Ever married
1980,21c,1980_21c,First marriage ended becuase of death,,Family,Indiv. in sampled household,BN,Ever married
1980,20,1980_20,Mother of how many children,,Family,Indiv. in sampled household,CC,"15 or over, female"
1980,3,1980_3,Sex,,Identity,Individual,CC,All respondents
1980,4,1980_4,Race,,Race,Individual,CC,All respondents
1980,5a,1980_5a,Age,,Identity,Individual,FN,All respondents
1980,5b-5c,1980_5b-5c,Birth month and year,,Identity,Individual,FD,All respondents
1980,7,1980_7,Hispanic origin,,Race,Individual,CC,All respondents
1980,8,1980_8,Attended school since February 1,,Education,Individual,CC,All respondents
1980,9,1980_9,Education level attended,,Education,Individual,CC,All respondents
1980,10,1980_10,Completed highest grade level,,Education,Individual,CC,All respondents
1980,11,1980_11,Place of Birth (state or country),,National origin,Indiv. in sampled household,FT,All respondents
1980,12a,1980_12a,Naturalized,,Immigration,Indiv. in sampled household,CC,All respondents
1980,12b,1980_12b,Year of immigration to US,,Immigration,Indiv. in sampled household,CC,All respondents
1980,13a,1980_13a,Other than English spoken at home,,National origin,Indiv. in sampled household,BN,All respondents
1980,13b,1980_13b,Languge spoken at home,,National origin,Indiv. in sampled household,FT,All respondents
1980,13c,1980_13c,English language ability,,National origin,Indiv. in sampled household,CC,All respondents
1980,14,1980_14,Ancestry/Ethnicity,,National origin,Indiv. in sampled household,FT,All respondents
1980,15a,1980_15a,Lived here in 1975,,Housing,Indiv. in sampled household,CC,All respondents
1980,15b,1980_15b,Residence in 1975 (+ subquestions),,Housing,Indiv. in sampled household,FT,All respondents
1980,18a,1980_18a,Veteran status,,Veteran status,Indiv. in sampled household,BN,15 or over
1980,18b,1980_18b,Period of military service,,Veteran status,Indiv. in sampled household,FT,15 or over
1980,19a,1980_19a,Health condition limiting work,,Disability,Indiv. in sampled household,BN,15 or over
1980,19b,1980_19b,Health condition preventing any work,,Disability,Indiv. in sampled household,BN,15 or over
1980,19c,1980_19c,Health condition limiting public transportation,,Disability,Indiv. in sampled household,BN,15 or over
1980,22a,1980_22a,Any work last week,,Occupation,Indiv. in sampled household,BN,15 or over
1980,22b,1980_22b,Hours worked last week,,Occupation,Indiv. in sampled household,FN,15 or over
1980,23,1980_23,Location of work,,Occupation - Job,Indiv. in sampled household,FT,15 or over
1980,24b,1980_24b,Commute mode of transportation,,Occupation - Commute,Indiv. in sampled household,CC,15 or over
1980,24a,1980_24a,Commute duration,,Occupation - Commute,Indiv. in sampled household,FN,15 or over
1980,24c,1980_24c,Drive alone or carpool,,Occupation - Commute,Indiv. in sampled household,CC,15 or over
1980,24d,1980_24d,Number in carpool,,Occupation - Commute,Indiv. in sampled household,CC,15 or over
1980,25,1980_25,Temporarily absent from job or business,,Occupation,Indiv. in sampled household,CC,15 or over
1980,26a,1980_26a,Seeking work in last 4 weeks,,Occupation - Unemployment,Indiv. in sampled household,BN,15 or over
1980,26b,1980_26b,Reason unable to take a job,,Occupation,Indiv. in sampled household,CC,15 or over
1980,27,1980_27,Time of last work,,Occupation,Indiv. in sampled household,CC,15 or over
1980,28a,1980_28a,Name of employer,,Occupation - Job,Indiv. in sampled household,FT,15 or over
1980,28b,1980_28b,Type of business,,Occupation - Job,Indiv. in sampled household,FT,15 or over
1980,29a,1980_29a,Type of work,,Occupation - Job,Indiv. in sampled household,FT,15 or over
1980,28c,1980_28c,Industry,,Occupation - Job,Indiv. in sampled household,CC,15 or over
1980,29b,1980_29b,Job responsibilities,,Occupation - Job,Indiv. in sampled household,FT,15 or over
1980,30,1980_30,Class of worker,,Occupation - Job,Indiv. in sampled household,CC,15 or over
1980,17c,1980_17c,Working in 1975,,Occupation,Indiv. in sampled household,BN,15 or over
1980,17a,1980_17a,Armed forces in 1975,,Occupation,Indiv. in sampled household,BN,15 or over
1980,17b,1980_17b,College in 1975,,Occupation,Indiv. in sampled household,BN,15 or over
1980,31a,1980_31a,Any work in 1979,,Occupation,Indiv. in sampled household,BN,15 or over
1980,31b,1980_31b,Weeks of work in 1979,,Occupation,Indiv. in sampled household,FN,15 or over
1980,31c,1980_31c,Hours of work per week in 1979,,Occupation,Indiv. in sampled household,FN,15 or over
1980,31d,1980_31d,Weeks looking for work in 1979,,Occupation - Unemployment,Indiv. in sampled household,FN,15 or over
1980,32a,1980_32a,1979 wages as employee,,Occupation - Income,Indiv. in sampled household,FN,15 or over
1980,32b,1980_32b,1979 wages as owner,,Occupation - Income,Indiv. in sampled household,FN,15 or over
1980,32c,1980_32c,1979 wages from farm,,Occupation - Income,Indiv. in sampled household,FN,15 or over
1980,32e,1980_32e,1979 income from Social Security,,Occupation - Income,Indiv. in sampled household,FN,15 or over
1980,32f,1980_32f,1979 income from public assistance/welfare,,Occupation - Income,Indiv. in sampled household,FN,15 or over
1980,32g,1980_32g,"1979 income from unemployment, pension, etc.",,Occupation - Income,Indiv. in sampled household,FN,15 or over
1980,32d,1980_32d,1979 income from outside sources,,Occupation - Income,Indiv. in sampled household,FN,15 or over
1980,33,1980_33,Total income in 1979,,Occupation - Income,Indiv. in sampled household,FN,15 or over
1980,H,1980_H,Household questionnaire,,Housing,Sampled Household,CC,All respondents
1990,1,1990_1,Name,,Identity,Individual,FT,All respondents
1990,2,1990_2,Relationship to head of family,,Family,Individual,CC,All respondents
1990,3,1990_3,Sex,,Identity,Individual,CC,All respondents
1990,4,1990_4,Race,,Race,Individual,CC,All respondents
1990,5a,1990_5a,Age,,Identity,Individual,FN,All respondents
1990,5b,1990_5b,Year of birth,,Identity,Individual,FD,All respondents
1990,6,1990_6,Marital status,,Family,Individual,CC,All respondents
1990,7,1990_7,Hispanic origin,,Race,Individual,CC,All respondents
1990,8,1990_8,Place of Birth (state or country),,National origin,Indiv. in sampled household,FT,All respondents
1990,15a,1990_15a,Other than English spoken at home,,National origin,Indiv. in sampled household,BN,All respondents
1990,15b,1990_15b,Languge spoken at home,,National origin,Indiv. in sampled household,FT,All respondents
1990,15c,1990_15c,English language ability,,National origin,Indiv. in sampled household,CC,All respondents
1990,13,1990_13,Ancestry/Ethnicity,,National origin,Indiv. in sampled household,FT,All respondents
1990,9,1990_9,Citizenship,,Immigration,Indiv. in sampled household,CC,All respondents
1990,10,1990_10,Year of immigration to US,,Immigration,Indiv. in sampled household,CC,All respondents
1990,11,1990_11,Attended school since February 1,,Education,Indiv. in sampled household,CC,All respondents
1990,12,1990_12,Education level completed,,Education,Indiv. in sampled household,CC,All respondents
1990,14a,1990_14a,Lived here in 1985,,Housing,Indiv. in sampled household,CC,All respondents
1990,14b,1990_14b,Residence in 1985 (+ subquestions),,Housing,Indiv. in sampled household,FT,All respondents
1990,17a,1990_17a,Armed services,,Veteran status,Indiv. in sampled household,CC,15 or over
1990,17b,1990_17b,Period of military service,,Veteran status,Indiv. in sampled household,CC,15 or over
1990,17c,1990_17c,Years of active duty service,,Veteran status,Indiv. in sampled household,FN,15 or over
1990,18a,1990_18a,Health condition limiting work,,Disability,Indiv. in sampled household,BN,15 or over
1990,18b,1990_18b,Health condition preventing work,,Disability,Indiv. in sampled household,BN,15 or over
1990,19a,1990_19a,Health condition difficulty going out,,Disability,Indiv. in sampled household,BN,15 or over
1990,19b,1990_19b,Health condition difficulty at home,,Disability,Indiv. in sampled household,BN,15 or over
1990,20,1990_20,Mother of how many children,,Family,Indiv. in sampled household,CC,"15 or over, female"
1990,21a,1990_21a,Any work last week,,Occupation,Indiv. in sampled household,BN,15 or over
1990,21b,1990_21b,Hours worked last week,,Occupation,Indiv. in sampled household,FN,15 or over
1990,22,1990_22,Location of work last week,,Occupation - Job,Indiv. in sampled household,FT,15 or over
1990,23a,1990_23a,Commute mode of transportation,,Occupation - Commute,Indiv. in sampled household,CC,15 or over
1990,23b,1990_23b,Number in carpool,,Occupation - Commute,Indiv. in sampled household,CC,15 or over
1990,24a,1990_24a,Time left for work,,Occupation - Commute,Indiv. in sampled household,FN,15 or over
1990,24b,1990_24b,Commute duration,,Occupation - Commute,Indiv. in sampled household,FN,15 or over
1990,25,1990_25,Temporarily absent from job or business,,Occupation,Indiv. in sampled household,CC,15 or over
1990,26a,1990_26a,Seeking work in last 4 weeks,,Occupation - Unemployment,Indiv. in sampled household,BN,15 or over
1990,26b,1990_26b,Reason unable to take a job,,Occupation,Indiv. in sampled household,CC,15 or over
1990,27,1990_27,Time of last work,,Occupation,Indiv. in sampled household,CC,15 or over
1990,28a,1990_28a,Name of employer (current/last),,Occupation - Job,Indiv. in sampled household,FT,15 or over
1990,28b,1990_28b,Type of business (current/last),,Occupation - Job,Indiv. in sampled household,FT,15 or over
1990,29a,1990_29a,Type of work (current/last),,Occupation - Job,Indiv. in sampled household,FT,15 or over
1990,28c,1990_28c,Industry (current/last),,Occupation - Job,Indiv. in sampled household,CC,15 or over
1990,29b,1990_29b,Job responsibilities (current/last),,Occupation - Job,Indiv. in sampled household,FT,15 or over
1990,30,1990_30,Class of worker (current/last),,Occupation - Job,Indiv. in sampled household,CC,15 or over
1990,31a,1990_31a,Any work in 1989,,Occupation,Indiv. in sampled household,BN,15 or over
1990,31b,1990_31b,Weeks of work in 1989,,Occupation,Indiv. in sampled household,FN,15 or over
1990,31c,1990_31c,Hours of work per week in 1989,,Occupation,Indiv. in sampled household,FN,15 or over
1990,32a,1990_32a,1989 wages as employee,,Occupation - Income,Indiv. in sampled household,FN,15 or over
1990,32b,1990_32b,1989 wages as owner,,Occupation - Income,Indiv. in sampled household,FN,15 or over
1990,32c,1990_32c,1989 wages from farm,,Occupation - Income,Indiv. in sampled household,FN,15 or over
1990,32e,1990_32e,1989 income from Social Security,,Occupation - Income,Indiv. in sampled household,FN,15 or over
1990,32f,1990_32f,1989 income from public assistance/welfare,,Occupation - Income,Indiv. in sampled household,FN,15 or over
1990,32g,1990_32g,1989 income from retirement or disability,,Occupation - Income,Indiv. in sampled household,FN,15 or over
1990,32h,1990_32h,"1989 income from VA, unemployment, etc.",,Occupation - Income,Indiv. in sampled household,FN,15 or over
1990,32d,1990_32d,1989 income from outside sources,,Occupation - Income,Indiv. in sampled household,FN,15 or over
1990,33,1990_33,Total income in 1989,,Occupation - Income,Indiv. in sampled household,FN,15 or over
1990,H,1990_H,Housing questionnaire,,Housing,Sampled Household,CC,All respondents
2000,r1,2000_r1,# of people living here,,[Admin.],Reference Individual,FN,All respondents
2000,r2,2000_r2,Rent or own,,Housing,Household,CC,All respondents
2000,r4,2000_r4,Telephone number,,[Admin.],Reference Individual,FN,All respondents
2000,1,2000_1,Name,,Identity,Individual,FT,All respondents
2000,2,2000_2,Relationship to head of family,,Family,Individual,CC,All respondents
2000,3,2000_3,Sex,,Identity,Individual,CC,All respondents
2000,4,2000_4,Date of birth / age,,Identity,Individual,FN,All respondents
2000,6,2000_6,Race,,Race,Individual,CC,All respondents
2000,5,2000_5,Hispanic origin,,Race,Individual,CC,All respondents
2000,7,2000_7,Marital status,,Family,Indiv. in sampled household,CC,All respondents
2000,8a,2000_8a,Attended school since February 1,,Education,Indiv. in sampled household,CC,All respondents
2000,8b,2000_8b,Education level attended,,Education,Indiv. in sampled household,CC,All respondents
2000,9,2000_9,Education level completed,,Education,Indiv. in sampled household,CC,All respondents
2000,12,2000_12,Place of Birth (state or country),,National origin,Indiv. in sampled household,FT,All respondents
2000,11a,2000_11a,Other than English spoken at home,,National origin,Indiv. in sampled household,BN,All respondents
2000,11b,2000_11b,Languge spoken at home,,National origin,Indiv. in sampled household,FT,All respondents
2000,11c,2000_11c,English language ability,,National origin,Indiv. in sampled household,CC,All respondents
2000,10,2000_10,Ancestry/Ethnicity,,National origin,Indiv. in sampled household,FT,All respondents
2000,13,2000_13,Citizenship,,Immigration,Indiv. in sampled household,CC,All respondents
2000,14,2000_14,Year of immigration to US,,Immigration,Indiv. in sampled household,FD,All respondents
2000,15a,2000_15a,Lived here in 1995,,Housing,Indiv. in sampled household,CC,All respondents
2000,15b,2000_15b,Residence in 1995 (+ subquestions),,Housing,Indiv. in sampled household,FT,All respondents
2000,16a,2000_16a,Blind or deaf,,Disability,Indiv. in sampled household,BN,All respondents
2000,16b,2000_16b,Health condition limiting mobility,,Disability,Indiv. in sampled household,BN,All respondents
2000,17a,2000_17a,Health condition difficulty learning,,Disability,Indiv. in sampled household,BN,All respondents
2000,17d,2000_17d,Health condition difficulty working,,Disability,Indiv. in sampled household,BN,16 or over
2000,17c,2000_17c,Health condition difficulty going out,,Disability,Indiv. in sampled household,BN,16 or over
2000,17b,2000_17b,Health condition difficulty at home,,Disability,Indiv. in sampled household,BN,All respondents
2000,19a,2000_19a,Live with grandchildren,,Occupation,Indiv. in sampled household,BN,15 or over
2000,19b,2000_19b,Primary caregiver for grandchildren,,Occupation,Indiv. in sampled household,BN,15 or over
2000,19c,2000_19c,How long primary caregiver for grandchildren,,Occupation,Indiv. in sampled household,CC,15 or over
2000,20a,2000_20a,Armed services,,Veteran status,Indiv. in sampled household,CC,15 or over
2000,20b,2000_20b,Period of military service,,Veteran status,Indiv. in sampled household,CC,15 or over
2000,20c,2000_20c,Years of active duty service,,Veteran status,Indiv. in sampled household,CC,15 or over
2000,21,2000_21,Any work last week,,Occupation,Indiv. in sampled household,BN,15 or over
2000,22,2000_22,Location of work,,Occupation - Job,Indiv. in sampled household,FT,15 or over
2000,23a,2000_23a,Commute mode of transportation,,Occupation - Commute,Indiv. in sampled household,CC,15 or over
2000,23b,2000_23b,Number in carpool,,Occupation - Commute,Indiv. in sampled household,CC,15 or over
2000,24a,2000_24a,Time left for work,,Occupation - Commute,Indiv. in sampled household,FN,15 or over
2000,24b,2000_24b,Commute duration,,Occupation - Commute,Indiv. in sampled household,FN,15 or over
2000,25a,2000_25a,On layoff last week,,Occupation - Unemployment,Indiv. in sampled household,BN,15 or over
2000,25b,2000_25b,Temporarily absent from job or business,,Occupation,Indiv. in sampled household,BN,15 or over
2000,25c,2000_25c,Planned return to work,,Occupation,Indiv. in sampled household,BN,15 or over
2000,25d,2000_25d,Seeking work in last 4 weeks,,Occupation - Unemployment,Indiv. in sampled household,BN,15 or over
2000,25e,2000_25e,Reason unable to take a job,,Occupation,Indiv. in sampled household,CC,15 or over
2000,26,2000_26,Time of last work,,Occupation,Indiv. in sampled household,CC,15 or over
2000,27a,2000_27a,Name of employer (current/last),,Occupation - Job,Indiv. in sampled household,FT,15 or over
2000,27b,2000_27b,Type of business (current/last),,Occupation - Job,Indiv. in sampled household,FT,15 or over
2000,28a,2000_28a,Type of work (current/last),,Occupation - Job,Indiv. in sampled household,FT,15 or over
2000,27c,2000_27c,Industry (current/last),,Occupation - Job,Indiv. in sampled household,CC,15 or over
2000,28b,2000_28b,Job responsibilities,,Occupation - Job,Indiv. in sampled household,FT,15 or over
2000,29,2000_29,Class of worker,,Occupation - Job,Indiv. in sampled household,CC,15 or over
2000,30a,2000_30a,Any work in 1999,,Occupation,Indiv. in sampled household,BN,15 or over
2000,30b,2000_30b,Weeks of work in 1999,,Occupation,Indiv. in sampled household,FN,15 or over
2000,30c,2000_30c,Hours of work per week in 1999,,Occupation,Indiv. in sampled household,FN,15 or over
2000,31a,2000_31a,1999 wages as employee,,Occupation - Income,Indiv. in sampled household,FN,15 or over
2000,31b,2000_31b,1999 wages as owner,,Occupation - Income,Indiv. in sampled household,FN,15 or over
2000,31d,2000_31d,1999 income from Social Security,,Occupation - Income,Indiv. in sampled household,FN,15 or over
2000,31e,2000_31e,1999 income from SSI,,Occupation - Income,Indiv. in sampled household,FN,15 or over
2000,31f,2000_31f,1999 income from public assistance/welfare,,Occupation - Income,Indiv. in sampled household,FN,15 or over
2000,31g,2000_31g,1999 income from retirement or disability,,Occupation - Income,Indiv. in sampled household,FN,15 or over
2000,31h,2000_31h,"1999 income from VA, unemployment, etc.",,Occupation - Income,Indiv. in sampled household,FN,15 or over
2000,31c,2000_31c,1999 income from outside sources,,Occupation - Income,Indiv. in sampled household,FN,15 or over
2000,32,2000_32,Total income in 1999,,Occupation - Income,Indiv. in sampled household,FN,15 or over
2000,H,2000_H,Housing questionnaire,,Housing,Sampled Household,CC,All respondents
2000,r1,2000_r1,# of people living here,,[Admin.],Reference Individual,FN,All respondents
2010,r2,2010_r2,Any additional people,,[Admin.],Reference Individual,CC,All respondents
2010,r3,2010_r3,Rent or own,,Housing,Household,CC,All respondents
2010,r4,2010_r4,Telephone number,,[Admin.],Reference Individual,FN,All respondents
2010,1,2010_1,Name,,Identity,Individual,FT,All respondents
2010,2,2010_2,Relationship to head of family,,Family,Individual,CC,All respondents
2010,3,2010_3,Sex,,Identity,Individual,CC,All respondents
2010,4,2010_4,Date of birth / age,,Identity,Individual,FN,All respondents
2010,6,2010_6,Race,,Race,Individual,CC,All respondents
2010,5,2010_5,Hispanic origin,,Race,Individual,CC,All respondents
2010,7,2010_7,Sometimes lives elsewhere,,Housing,Individual,CC,All respondents
2010,ACS,2010_ACS,Questions shifted to the ACS,,[Multiple],Indiv. in sampled household,CC,All respondents
2020,r1,2020_r1,# of people living here,,[Admin.],Reference Individual,FN,All respondents
2020,r2,2020_r2,Any additional people,,[Admin.],Reference Individual,CC,All respondents
2020,r3,2020_r3,Rent or own,,Housing,Household,CC,All respondents
2020,r4,2020_r4,Telephone number,,[Admin.],Reference Individual,FN,All respondents
2020,1,2020_1,Name,,Identity,Individual,FT,All respondents
2020,2,2020_2,Usually lives elsewhere,,Housing,Individual,CC,All respondents
2020,3,2020_3,Relationship to head of family,,Family,Individual,CC,All respondents
2020,4,2020_4,Sex,,Identity,Individual,CC,All respondents
2020,5,2020_5,Date of birth / age,,Identity,Individual,FN,All respondents
2020,7,2020_7,Race,,Race,Individual,CC,All respondents
2020,6,2020_6,Hispanic origin,,Race,Individual,CC,All respondents